utm_source,utm_medium,utm_campaign,utm_adcontent,utm_keyword,device_category,device_os,device_brand,device_screen_resolution,device_browser,geo_country,geo_city,target
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Samsung,412x846,Chrome,Russia,Moscow,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,360x800,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,393x851,Chrome,Russia,Ufa,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,Android,Samsung,412x915,Samsung Internet,Russia,Moscow,0
QxAxdyPLuQMEcrdZWdWb,cpc,vRLTQQKAsFQMxbcHGPhu,vRLTQQKAsFQMxbcHGPhu,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,393x851,Android Webview,Russia,Moscow,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,desktop,Windows,other,1792x1120,Chrome,Russia,Moscow,0
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Samsung,412x892,Samsung Internet,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,412x732,Chrome,Russia,Tambov,0
RmEBuqrriAfAVsLQQmhk,cpc,VBmazutCflYumtDHrQYe,VBmazutCflYumtDHrQYe,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,412x732,Chrome,Russia,Vyborg,0
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Huawei,360x720,Opera,Russia,Saint Petersburg,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,desktop,Windows,other,1280x720,Chrome,Russia,Moscow,0
kjsLglQLzykiRbcDiGcD,organic,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,UKNBOHebRIIsQRsjNKay,desktop,Windows,other,1792x1120,Safari,Russia,Kazan,0
hTjLvqNxGggkGnxSCaTm,stories,QEejXfOCtOMFLZqIPApp,QEejXfOCtOMFLZqIPApp,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,375x812,Safari (in-app),Russia,Kazan,0
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,BQ,720x360,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,412x892,Chrome,Russia,Komsomolsk-on-Amur,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,iOS,Apple,428x926,Safari,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,412x846,Chrome,Russia,Zheleznodorozhny,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,tablet,iOS,Apple,375x667,Safari,Russia,Kaliningrad,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,353x765,Chrome,Russia,Krasnoyarsk,0
kjsLglQLzykiRbcDiGcD,organic,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,UKNBOHebRIIsQRsjNKay,desktop,Windows,other,1440x900,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,320x568,Safari,Russia,Saint Petersburg,0
QxAxdyPLuQMEcrdZWdWb,cpc,vRLTQQKAsFQMxbcHGPhu,vRLTQQKAsFQMxbcHGPhu,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,375x667,Safari (in-app),Russia,Moscow,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,desktop,Windows,other,1920x1080,Chrome,Russia,Moscow,0
aXQzDWsJuGXeBXexNHjc,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,Android,(not set),412x823,YaBrowser,Russia,Yekaterinburg,0
jaSOmLICuBzCFqHfBdRg,email,bxOTvPtyGSdUrbwoXCPO,bxOTvPtyGSdUrbwoXCPO,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari,Russia,Moscow,0
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Xiaomi,360x800,Chrome,Russia,Tula,0
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Xiaomi,393x851,Chrome,Russia,Moscow,0
aXQzDWsJuGXeBXexNHjc,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,1440x900,Chrome,Russia,Saint Petersburg,0
BKeImrJuRDZcHiSSTdzm,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,393x873,Chrome,Russia,Chelyabinsk,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,428x926,Safari (in-app),Russia,Moscow,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,desktop,Macintosh,other,1792x1120,Safari,Russia,Perm,0
geDcueAOghDzHkGMmdOq,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,vuriSCpYEnMEbLACpaMZ,desktop,Windows,other,360x640,Chrome,Russia,Saint Petersburg,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Vivo,360x760,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,428x926,Safari,Russia,Dmitrov,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,360x640,Chrome,Russia,Krasnodar,0
vFcAhRxLfOWKhvxjELkx,organic,okTXSMadDkjvntEHzIjp,okTXSMadDkjvntEHzIjp,aXQzDWsJuGXeBXexNHjc,desktop,Windows,other,1280x1024,YaBrowser,Russia,Moscow,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,desktop,Windows,other,1920x1080,Chrome,Russia,Moscow,0
BHcvLfOaCWvWTykYqHVe,cpc,jvsVVQVKRfBIqBDBuCkq,jvsVVQVKRfBIqBDBuCkq,ZNhSIPchlbnKwZWcsKzz,mobile,Android,Samsung,360x740,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,push,sbJRYgVfvcnqKJNDDYIr,sbJRYgVfvcnqKJNDDYIr,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari,Russia,Moscow,0
kjsLglQLzykiRbcDiGcD,organic,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,UKNBOHebRIIsQRsjNKay,desktop,Windows,other,1920x1080,Chrome,Russia,Lyubertsy,0
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,desktop,Windows,other,1920x1080,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,320x534,Chrome,Russia,Krasnoyarsk,0
QxAxdyPLuQMEcrdZWdWb,cpc,vRLTQQKAsFQMxbcHGPhu,vRLTQQKAsFQMxbcHGPhu,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari (in-app),Russia,Saint Petersburg,0
QxAxdyPLuQMEcrdZWdWb,cpc,vRLTQQKAsFQMxbcHGPhu,vRLTQQKAsFQMxbcHGPhu,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,412x869,Android Webview,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,360x640,Chrome,Russia,Kostroma,0
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Xiaomi,360x640,Chrome,Russia,Shchyolkovo,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,Android,Xiaomi,393x851,Chrome,Russia,Saint Petersburg,0
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Xiaomi,360x760,Chrome,Russia,Saint Petersburg,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,iOS,Apple,428x926,Safari,Russia,Moscow,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,iOS,Apple,414x896,Safari,Russia,Moscow,0
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Samsung,360x800,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,390x844,Safari,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,393x851,Chrome,Russia,Saratov,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,iOS,Apple,414x896,Safari,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,push,sbJRYgVfvcnqKJNDDYIr,sbJRYgVfvcnqKJNDDYIr,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,428x926,Safari,Russia,Moscow,0
kjsLglQLzykiRbcDiGcD,organic,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,UKNBOHebRIIsQRsjNKay,desktop,Windows,other,1280x720,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari,Russia,Nizhny Novgorod,0
aXQzDWsJuGXeBXexNHjc,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,1366x768,Opera,Russia,Voronezh,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,desktop,Windows,other,1280x720,Chrome,Russia,Moscow,0
BHcvLfOaCWvWTykYqHVe,cpc,jvsVVQVKRfBIqBDBuCkq,jvsVVQVKRfBIqBDBuCkq,ZNhSIPchlbnKwZWcsKzz,mobile,iOS,Apple,375x667,Safari,Russia,Saint Petersburg,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,iOS,Apple,414x896,Safari,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,412x915,Chrome,Russia,Grozny,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,375x812,Safari,Russia,Izhevsk,0
BHcvLfOaCWvWTykYqHVe,cpc,jvsVVQVKRfBIqBDBuCkq,jvsVVQVKRfBIqBDBuCkq,ZNhSIPchlbnKwZWcsKzz,mobile,Android,Samsung,360x800,Chrome,Russia,Reutov,0
RmEBuqrriAfAVsLQQmhk,cpc,VBmazutCflYumtDHrQYe,VBmazutCflYumtDHrQYe,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,360x740,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,OPPO,360x720,Chrome,Russia,Voronezh,0
jaSOmLICuBzCFqHfBdRg,email,bxOTvPtyGSdUrbwoXCPO,bxOTvPtyGSdUrbwoXCPO,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,810x1080,Safari,Russia,Kamyshin,0
QxAxdyPLuQMEcrdZWdWb,cpm,EiQppLFrUZrUsjXVulLg,EiQppLFrUZrUsjXVulLg,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari (in-app),Russia,Saint Petersburg,0
aXQzDWsJuGXeBXexNHjc,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,428x926,Safari,Russia,Krasnodar,0
IZEXUFLARCUMynmHNBGo,blogger_channel,ngkgBNjlzLYBofkljaBo,ngkgBNjlzLYBofkljaBo,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,1280x720,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Realme,360x800,Chrome,Russia,Moscow,0
jaSOmLICuBzCFqHfBdRg,email,bxOTvPtyGSdUrbwoXCPO,bxOTvPtyGSdUrbwoXCPO,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,1920x1200,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,393x851,Chrome,Russia,Vyborg,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x736,Safari (in-app),Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari,Belgium,Brussels,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,360x760,Chrome,Russia,Ulyanovsk,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,360x747,Chrome,Russia,Moscow,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,375x812,Safari,India,Kochi,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,360x771,Chrome,Russia,Alexandrov,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,Android,Huawei,360x780,Chrome,Russia,Moscow,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,1920x1080,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Realme,360x800,Chrome,Russia,Yekaterinburg,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x736,Safari,Russia,Istra,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,320x534,Chrome,Russia,Saint Petersburg,0
BHcvLfOaCWvWTykYqHVe,cpc,jvsVVQVKRfBIqBDBuCkq,jvsVVQVKRfBIqBDBuCkq,ZNhSIPchlbnKwZWcsKzz,mobile,Android,Xiaomi,393x873,Chrome,Russia,Moscow,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,1366x768,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Asus,412x856,Chrome,Russia,Saint Petersburg,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,320x640,Chrome,Russia,Vladikavkaz,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,360x720,Chrome,Russia,Novosibirsk,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,1366x768,Opera,Russia,Voronezh,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,385x854,Chrome,Russia,Irkutsk,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,428x926,Safari,Russia,Moscow,0
aXQzDWsJuGXeBXexNHjc,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,YaBrowser,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari,Russia,Samara,0
gVRrcxiDQubJiljoTbGm,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,412x915,Android Webview,Russia,Moscow,0
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,iOS,Apple,390x844,Safari,Russia,Kotelniki,0
BHcvLfOaCWvWTykYqHVe,cpc,jvsVVQVKRfBIqBDBuCkq,jvsVVQVKRfBIqBDBuCkq,ZNhSIPchlbnKwZWcsKzz,mobile,iOS,Apple,414x736,YaBrowser,Russia,Khimki,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,1600x900,YaBrowser,Russia,Penza,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,393x851,Chrome,Russia,Sochi,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari,Russia,Moscow,0
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Realme,320x712,Opera,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,360x740,Chrome,Ukraine,Chornomors'ke,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari,Russia,Saint Petersburg,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,412x869,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,320x694,Chrome,Russia,Norilsk,0
aXQzDWsJuGXeBXexNHjc,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,393x873,YaBrowser,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,push,sbJRYgVfvcnqKJNDDYIr,sbJRYgVfvcnqKJNDDYIr,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,393x851,Chrome,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,375x667,Safari,Russia,Moscow,0
BHcvLfOaCWvWTykYqHVe,cpc,jvsVVQVKRfBIqBDBuCkq,jvsVVQVKRfBIqBDBuCkq,ZNhSIPchlbnKwZWcsKzz,desktop,Windows,other,1280x1024,Edge,Russia,(not set),0
geDcueAOghDzHkGMmdOq,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,vuriSCpYEnMEbLACpaMZ,mobile,Android,Huawei,360x760,Chrome,Russia,Yekaterinburg,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,360x770,Chrome,Russia,Rostov-on-Don,0
IZEXUFLARCUMynmHNBGo,blogger_channel,ngkgBNjlzLYBofkljaBo,ngkgBNjlzLYBofkljaBo,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,390x844,Safari,Russia,Moscow,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,400x867,Chrome,Russia,Pyatigorsk,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari,Russia,Khabarovsk,0
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,360x780,Chrome,Russia,Novosibirsk,0
bByPQxmDaMXgpHeypKSM,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Chrome,Russia,Moscow,0
RmEBuqrriAfAVsLQQmhk,cpc,VBmazutCflYumtDHrQYe,VBmazutCflYumtDHrQYe,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,360x757,Chrome,Russia,Moscow,0
QxAxdyPLuQMEcrdZWdWb,cpc,vRLTQQKAsFQMxbcHGPhu,vRLTQQKAsFQMxbcHGPhu,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari (in-app),Russia,Moscow,0
